seed,detector,top_pick,ground_truth_station,top1_correct,top3_hit,mse
1,utilization,S17,S17,True,True,0.0045919905324460835
1,active_period,S17,S17,True,True,0.0006533591597495686
1,busy_ratio,S17,S17,True,True,0.004645999556272082
1,queue_length,S12,S17,False,False,0.005672196740193003
1,arrow,S13,S17,False,,
1,turning_point,S17,S17,True,,
2,utilization,S17,S17,True,True,0.004574180772625793
2,active_period,S17,S17,True,True,0.006734986205128569
2,busy_ratio,S17,S17,True,True,0.004637325132924465
2,queue_length,S12,S17,False,False,0.005631932748622118
2,arrow,S17,S17,True,,
2,turning_point,S17,S17,True,,
3,utilization,S17,S17,True,True,0.004596943400733095
3,active_period,S17,S17,True,True,0.0007622360701271841
3,busy_ratio,S17,S17,True,True,0.0046507222698449514
3,queue_length,S12,S17,False,False,0.005668412742816332
3,arrow,S17,S17,True,,
3,turning_point,S17,S17,True,,
4,utilization,S17,S17,True,True,0.0045761862154827925
4,active_period,S17,S17,True,True,0.00025731260194159324
4,busy_ratio,S17,S17,True,True,0.0046342781581563
4,queue_length,S12,S17,False,False,0.005760567486995814
4,arrow,S17,S17,True,,
4,turning_point,S17,S17,True,,
5,utilization,S17,S17,True,True,0.004608807097833556
5,active_period,S17,S17,True,True,0.00019223162425761008
5,busy_ratio,S17,S17,True,True,0.00465219523872045
5,queue_length,S12,S17,False,False,0.006011572194199447
5,arrow,S13,S17,False,,
5,turning_point,S17,S17,True,,
6,utilization,S17,S17,True,True,0.004582399643303652
6,active_period,S17,S17,True,True,0.00017504089201352964
6,busy_ratio,S17,S17,True,True,0.00463887496584547
6,queue_length,S12,S17,False,False,0.0056904718250108816
6,arrow,S17,S17,True,,
6,turning_point,S17,S17,True,,
7,utilization,S17,S17,True,True,0.00460235532079103
7,active_period,S17,S17,True,True,0.0004947898953636838
7,busy_ratio,S17,S17,True,True,0.004655663706469425
7,queue_length,S12,S17,False,False,0.005614980833785039
7,arrow,S14,S17,False,,
7,turning_point,S17,S17,True,,
8,utilization,S17,S17,True,True,0.00457823217677536
8,active_period,S17,S17,True,True,0.0035214889377121906
8,busy_ratio,S17,S17,True,True,0.004636158336987839
8,queue_length,S12,S17,False,False,0.005713744630178986
8,arrow,S17,S17,True,,
8,turning_point,S17,S17,True,,
9,utilization,S17,S17,True,True,0.00459864272945659
9,active_period,S17,S17,True,True,0.0014287601730087946
9,busy_ratio,S17,S17,True,True,0.0046494798077973565
9,queue_length,S12,S17,False,False,0.005629639461499063
9,arrow,S17,S17,True,,
9,turning_point,S17,S17,True,,
10,utilization,S17,S17,True,True,0.0045794566919422665
10,active_period,S17,S17,True,True,0.0036711660841356204
10,busy_ratio,S17,S17,True,True,0.004642021135862041
10,queue_length,S12,S17,False,False,0.005674800852842524
10,arrow,S17,S17,True,,
10,turning_point,S17,S17,True,,
