scenario_station,seed,detector,top_pick,ground_truth_station,top1_correct,top3_hit,mse
S05,1,utilization,S05,S05,True,True,0.0010797955802899647
S05,1,active_period,S05,S05,True,True,0.00718364562005074
S05,1,active_period_normalized,S05,S05,True,True,0.007183645620050736
S05,1,busy_ratio,S05,S05,True,True,0.0010356938055832684
S05,1,queue_length,S05,S05,True,True,0.0015481113022545933
S05,1,arrow,S05,S05,True,,
S05,1,turning_point,S05,S05,True,,
S05,2,utilization,S05,S05,True,True,0.0010759213734977406
S05,2,active_period,S05,S05,True,True,0.0036306231744727985
S05,2,active_period_normalized,S05,S05,True,True,0.0036306231744728
S05,2,busy_ratio,S05,S05,True,True,0.0010285990410474023
S05,2,queue_length,S05,S05,True,True,0.0017269796734906632
S05,2,arrow,S05,S05,True,,
S05,2,turning_point,S05,S05,True,,
S05,3,utilization,S05,S05,True,True,0.0010877100932796945
S05,3,active_period,S05,S05,True,True,0.004508599613866638
S05,3,active_period_normalized,S05,S05,True,True,0.0045085996138666375
S05,3,busy_ratio,S05,S05,True,True,0.0010403184759587266
S05,3,queue_length,S05,S05,True,True,0.0015657815659877905
S05,3,arrow,S05,S05,True,,
S05,3,turning_point,S05,S05,True,,
S05,4,utilization,S05,S05,True,True,0.0010722398725983454
S05,4,active_period,S05,S05,True,True,0.006845819042443999
S05,4,active_period_normalized,S05,S05,True,True,0.006845819042443997
S05,4,busy_ratio,S05,S05,True,True,0.0010343285217632814
S05,4,queue_length,S05,S05,True,True,0.0015497901189460961
S05,4,arrow,S05,S05,True,,
S05,4,turning_point,S05,S05,True,,
S05,5,utilization,S05,S05,True,True,0.0010890132112094024
S05,5,active_period,S05,S05,True,True,0.006803288886956321
S05,5,active_period_normalized,S05,S05,True,True,0.006803288886956321
S05,5,busy_ratio,S05,S05,True,True,0.0010416735898412534
S05,5,queue_length,S05,S05,True,True,0.0012749352789540622
S05,5,arrow,S05,S05,True,,
S05,5,turning_point,S05,S05,True,,
S05,6,utilization,S05,S05,True,True,0.001085973619083673
S05,6,active_period,S05,S05,True,True,0.010380741358763816
S05,6,active_period_normalized,S05,S05,True,True,0.010380741358763816
S05,6,busy_ratio,S05,S05,True,True,0.0010401663183164061
S05,6,queue_length,S05,S05,True,True,0.001288344536198648
S05,6,arrow,S05,S05,True,,
S05,6,turning_point,S05,S05,True,,
S05,7,utilization,S05,S05,True,True,0.0010657938389627168
S05,7,active_period,S05,S05,True,True,0.003924474173742419
S05,7,active_period_normalized,S05,S05,True,True,0.003924474173742418
S05,7,busy_ratio,S05,S05,True,True,0.0010227964104106003
S05,7,queue_length,S05,S05,True,True,0.0019165265038992942
S05,7,arrow,S05,S05,True,,
S05,7,turning_point,S05,S05,True,,
S05,8,utilization,S05,S05,True,True,0.0010610574788192046
S05,8,active_period,S05,S05,True,True,0.009209618461029447
S05,8,active_period_normalized,S05,S05,True,True,0.009209618461029447
S05,8,busy_ratio,S05,S05,True,True,0.0010222191729939714
S05,8,queue_length,S05,S05,True,True,0.0017036543711886154
S05,8,arrow,S05,S05,True,,
S05,8,turning_point,S05,S05,True,,
S05,9,utilization,S05,S05,True,True,0.0010533640125310916
S05,9,active_period,S05,S05,True,True,0.004827377401397494
S05,9,active_period_normalized,S05,S05,True,True,0.004827377401397494
S05,9,busy_ratio,S05,S05,True,True,0.0010165708970655595
S05,9,queue_length,S05,S05,True,True,0.0008545733054623319
S05,9,arrow,S05,S05,True,,
S05,9,turning_point,S05,S05,True,,
S05,10,utilization,S05,S05,True,True,0.0010821642668377527
S05,10,active_period,S05,S05,True,True,0.005314799254637265
S05,10,active_period_normalized,S05,S05,True,True,0.005314799254637265
S05,10,busy_ratio,S05,S05,True,True,0.0010356753448864892
S05,10,queue_length,S05,S05,True,True,0.0019101162888291016
S05,10,arrow,S05,S05,True,,
S05,10,turning_point,S05,S05,True,,
S17,1,utilization,S17,S17,True,True,0.0011413681723289088
S17,1,active_period,S17,S17,True,True,0.004250968607841101
S17,1,active_period_normalized,S17,S17,True,True,0.004250968607841101
S17,1,busy_ratio,S17,S17,True,True,0.0010769102256666587
S17,1,queue_length,S17,S17,True,True,0.000967882635862695
S17,1,arrow,S17,S17,True,,
S17,1,turning_point,S17,S17,True,,
S17,2,utilization,S17,S17,True,True,0.0011232400805053708
S17,2,active_period,S17,S17,True,True,0.0060594022606041695
S17,2,active_period_normalized,S17,S17,True,True,0.0060594022606041695
S17,2,busy_ratio,S17,S17,True,True,0.0010579560904119998
S17,2,queue_length,S17,S17,True,True,0.0011099264711276469
S17,2,arrow,S17,S17,True,,
S17,2,turning_point,S16,S17,False,,
S17,3,utilization,S17,S17,True,True,0.001141303263483294
S17,3,active_period,S19,S17,False,True,0.00045769384966782005
S17,3,active_period_normalized,S19,S17,False,True,0.00045769384966782005
S17,3,busy_ratio,S19,S17,False,True,0.0010728120221752192
S17,3,queue_length,S17,S17,True,True,0.0013957092697909213
S17,3,arrow,S17,S17,True,,
S17,3,turning_point,S17,S17,True,,
S17,4,utilization,S17,S17,True,True,0.001129138767768941
S17,4,active_period,S17,S17,True,True,0.0027743403092137468
S17,4,active_period_normalized,S17,S17,True,True,0.002774340309213746
S17,4,busy_ratio,S17,S17,True,True,0.0010712732182529521
S17,4,queue_length,S17,S17,True,True,0.0014864628893068005
S17,4,arrow,S17,S17,True,,
S17,4,turning_point,S17,S17,True,,
S17,5,utilization,S01,S17,False,False,0.001144191992716802
S17,5,active_period,S19,S17,False,True,0.002717392349027699
S17,5,active_period_normalized,S19,S17,False,True,0.0027173923490276977
S17,5,busy_ratio,S19,S17,False,True,0.0010795733363847307
S17,5,queue_length,S19,S17,False,True,0.0008837689049138414
S17,5,arrow,S17,S17,True,,
S17,5,turning_point,S17,S17,True,,
S17,6,utilization,S17,S17,True,True,0.0011355403118195112
S17,6,active_period,S17,S17,True,True,0.0014007605048439744
S17,6,active_period_normalized,S17,S17,True,True,0.0014007605048439746
S17,6,busy_ratio,S17,S17,True,True,0.0010720143377081
S17,6,queue_length,S17,S17,True,True,0.0011992112270581166
S17,6,arrow,S17,S17,True,,
S17,6,turning_point,S17,S17,True,,
S17,7,utilization,S17,S17,True,True,0.0011227502138734132
S17,7,active_period,S19,S17,False,True,0.0005880109452570688
S17,7,active_period_normalized,S19,S17,False,True,0.0005880109452570688
S17,7,busy_ratio,S17,S17,True,True,0.0010657101201928853
S17,7,queue_length,S19,S17,False,True,0.000693456168088566
S17,7,arrow,S17,S17,True,,
S17,7,turning_point,S17,S17,True,,
S17,8,utilization,S17,S17,True,True,0.0011310783013815165
S17,8,active_period,S17,S17,True,True,0.001741923122276921
S17,8,active_period_normalized,S17,S17,True,True,0.001741923122276921
S17,8,busy_ratio,S17,S17,True,True,0.001070369673932928
S17,8,queue_length,S19,S17,False,True,0.0012314780824966463
S17,8,arrow,S17,S17,True,,
S17,8,turning_point,S17,S17,True,,
S17,9,utilization,S17,S17,True,True,0.0011110528261172247
S17,9,active_period,S17,S17,True,True,0.0027241174617403338
S17,9,active_period_normalized,S17,S17,True,True,0.0027241174617403325
S17,9,busy_ratio,S17,S17,True,True,0.001059670818255877
S17,9,queue_length,S17,S17,True,True,0.0005109461494484333
S17,9,arrow,S17,S17,True,,
S17,9,turning_point,S17,S17,True,,
S17,10,utilization,S17,S17,True,True,0.001127273300766266
S17,10,active_period,S17,S17,True,True,0.0005125185077420794
S17,10,active_period_normalized,S17,S17,True,True,0.0005125185077420795
S17,10,busy_ratio,S17,S17,True,True,0.0010640083786973655
S17,10,queue_length,S17,S17,True,True,0.0014141397352979864
S17,10,arrow,S17,S17,True,,
S17,10,turning_point,S17,S17,True,,
S25,1,utilization,S08,S25,False,False,0.004641970978208292
S25,1,active_period,S25,S25,True,True,0.00032770473519014716
S25,1,active_period_normalized,S25,S25,True,True,0.00032770473519014726
S25,1,busy_ratio,S25,S25,True,True,0.004576090886995877
S25,1,queue_length,S19,S25,False,True,0.003457717974744221
S25,1,arrow,S19,S25,False,,
S25,1,turning_point,S19,S25,False,,
S25,2,utilization,S25,S25,True,True,0.00462908284970245
S25,2,active_period,S25,S25,True,True,0.003381240467449764
S25,2,active_period_normalized,S25,S25,True,True,0.003381240467449764
S25,2,busy_ratio,S25,S25,True,True,0.004561502105411195
S25,2,queue_length,S25,S25,True,True,0.0032000028429459457
S25,2,arrow,S19,S25,False,,
S25,2,turning_point,S25,S25,True,,
S25,3,utilization,S19,S25,False,False,0.004629803807415998
S25,3,active_period,S25,S25,True,True,0.0003726898115206783
S25,3,active_period_normalized,S25,S25,True,True,0.0003726898115206783
S25,3,busy_ratio,S25,S25,True,True,0.00456777365591635
S25,3,queue_length,S19,S25,False,True,0.0036438246608343594
S25,3,arrow,S19,S25,False,,
S25,3,turning_point,S19,S25,False,,
S25,4,utilization,S01,S25,False,False,0.004638228638917904
S25,4,active_period,S25,S25,True,True,0.00036752023668035785
S25,4,active_period_normalized,S25,S25,True,True,0.0003675202366803579
S25,4,busy_ratio,S25,S25,True,True,0.004578259955114002
S25,4,queue_length,S19,S25,False,True,0.003654224689166746
S25,4,arrow,S19,S25,False,,
S25,4,turning_point,S20,S25,False,,
S25,5,utilization,S01,S25,False,False,0.00465438117381547
S25,5,active_period,S25,S25,True,True,0.00043990389297768513
S25,5,active_period_normalized,S25,S25,True,True,0.000439903892977685
S25,5,busy_ratio,S25,S25,True,True,0.004584053286425183
S25,5,queue_length,S19,S25,False,True,0.0038282587494856894
S25,5,arrow,S13,S25,False,,
S25,5,turning_point,S25,S25,True,,
S25,6,utilization,S01,S25,False,False,0.004637197186261345
S25,6,active_period,S25,S25,True,True,0.00028480754050789553
S25,6,active_period_normalized,S25,S25,True,True,0.00028480754050789564
S25,6,busy_ratio,S25,S25,True,True,0.004573079944404792
S25,6,queue_length,S25,S25,True,True,0.0032279081202007277
S25,6,arrow,S20,S25,False,,
S25,6,turning_point,S20,S25,False,,
S25,7,utilization,S02,S25,False,False,0.004632672442979654
S25,7,active_period,S25,S25,True,True,0.00029702891114157166
S25,7,active_period_normalized,S25,S25,True,True,0.00029702891114157166
S25,7,busy_ratio,S25,S25,True,True,0.004567696721534027
S25,7,queue_length,S24,S25,False,True,0.0036528680636131803
S25,7,arrow,S19,S25,False,,
S25,7,turning_point,S19,S25,False,,
S25,8,utilization,S02,S25,False,False,0.004639025097175036
S25,8,active_period,S25,S25,True,True,0.0008377991863868398
