rank,station_id,mean_sensitivity,ci_low,ci_high,n_replications
1,S17,-0.4896,-0.5459999999999998,-0.43920000000000015,20
2,S20,-0.4656000000000001,-0.5160000000000005,-0.4176,20
3,S29,-0.46080000000000015,-0.5244000000000001,-0.39840000000000003,20
4,S19,-0.42360000000000014,-0.4740300000000003,-0.3732000000000003,20
5,S26,-0.41880000000000034,-0.4608000000000003,-0.3744000000000003,20
6,S25,-0.41400000000000026,-0.45840000000000025,-0.3647700000000003,20
7,S27,-0.41400000000000026,-0.47040000000000004,-0.35517000000000043,20
8,S22,-0.41280000000000017,-0.45720000000000016,-0.36840000000000017,20
9,S30,-0.40680000000000033,-0.4488000000000004,-0.36720000000000036,20
10,S21,-0.3984000000000002,-0.45120000000000005,-0.3492000000000001,20
11,S24,-0.39840000000000014,-0.45120000000000005,-0.34680000000000033,20
12,S23,-0.39600000000000024,-0.44520000000000026,-0.35280000000000034,20
13,S28,-0.3900000000000001,-0.42840000000000017,-0.35037000000000007,20
14,S01,-0.17880000000000015,-0.22320000000000012,-0.13917000000000018,20
15,S15,-0.028800000000000235,-0.04320000000000012,-0.015600000000000306,20
16,S18,-0.025200000000000056,-0.04200000000000008,-0.010770000000000012,20
17,S14,-0.02280000000000001,-0.036000000000000025,-0.01199999999999998,20
18,S07,-0.02160000000000011,-0.039600000000000024,-0.007200000000000035,20
19,S11,-0.019200000000000113,-0.03360000000000013,-0.007199999999999989,20
20,S04,-0.018000000000000065,-0.02760000000000009,-0.009599999999999984,20
21,S06,-0.018000000000000065,-0.030000000000000228,-0.007200000000000035,20
22,S12,-0.016800000000000162,-0.026400000000000333,-0.007200000000000132,20
23,S08,-0.016800000000000113,-0.02760000000000028,-0.0071999999999999885,20
24,S13,-0.016800000000000113,-0.02759999999999986,-0.008399999999999939,20
25,S02,-0.01680000000000002,-0.02640000000000024,-0.007200000000000084,20
26,S03,-0.016799999999999975,-0.028799999999999902,-0.005999999999999943,20
27,S10,-0.016799999999999975,-0.030000000000000044,-0.005999999999999945,20
28,S05,-0.014400000000000024,-0.02400000000000015,-0.006000000000000038,20
29,S16,-0.013200000000000076,-0.01920000000000025,-0.007199999999999989,20
30,S09,-0.013200000000000073,-0.021600000000000112,-0.0059700000000001575,20
